State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,61. Rae bareli,2007 - 2008,"179,429.00","417,668.00",2.33,,
Uttar Pradesh,61. Rae bareli,2008 - 2009,"187,533.00","477,643.00",2.55,,
Uttar Pradesh,61. Rae bareli,2009 - 2010,"189,172.00","472,714.00",2.5,,
Uttar Pradesh,61. Rae bareli,2010 - 2011,"166,471.00","448,960.00",2.7,,
Uttar Pradesh,61. Rae bareli,2011 - 2012,"132,299.00","379,830.00",2.87,,
Uttar Pradesh,61. Rae bareli,2012 - 2013,"131,752.00","373,644.00",2.84,,
Uttar Pradesh,61. Rae bareli,2013 - 2014,"134,767.00","400,393.00",2.97,,
Uttar Pradesh,61. Rae bareli,2014 - 2015,"167,432.00","270,235.00",1.61,,
Uttar Pradesh,61. Rae bareli,2015 - 2016,"167,579.00","329,963.00",1.97,,
Uttar Pradesh,61. Rae bareli,2016 - 2017,"133,720.00","438,200.00",3.28,,
Uttar Pradesh,61. Rae bareli,2017 - 2018,"132,317.00","444,982.00",3.36,,
Uttar Pradesh,61. Rae bareli,2018 - 2019,"133,804.00","461,089.00",3.45,,
Uttar Pradesh,61. Rae bareli,2019 - 2020,"133,141.00","447,753.00",3.36,,
Uttar Pradesh,61. Rae bareli,2020 - 2021,"135,517.00","528,381.00",3.9,,
Uttar Pradesh,61. Rae bareli,2021 - 2022,"139,506.00","450,604.00",3.23,,
Uttar Pradesh,61. Rae bareli,2022 - 2023,"168,080.00","586,095.00",3.49,,
Uttar Pradesh,62. Rampur,1997 - 1998,"113,537.00","355,416.00",3.13,,
Uttar Pradesh,62. Rampur,1998 - 1999,"123,479.00","399,829.00",3.24,,
Uttar Pradesh,62. Rampur,1999 - 2000,"129,140.00","459,512.00",3.56,,
Uttar Pradesh,62. Rampur,2000 - 2001,"133,686.00","489,037.00",3.66,,
Uttar Pradesh,62. Rampur,2001 - 2002,"133,854.00","466,293.00",3.48,,
Uttar Pradesh,62. Rampur,2002 - 2003,"127,615.00","387,862.00",3.04,,
Uttar Pradesh,62. Rampur,2003 - 2004,"139,277.00","487,304.00",3.5,,
Uttar Pradesh,62. Rampur,2004 - 2005,"143,963.00","429,175.00",2.98,,
Uttar Pradesh,62. Rampur,2005 - 2006,"121,309.00","369,386.00",3.05,,
Uttar Pradesh,62. Rampur,2006 - 2007,"140,239.00","451,990.00",3.22,,
Uttar Pradesh,62. Rampur,2007 - 2008,"146,951.00","496,837.00",3.38,,
Uttar Pradesh,62. Rampur,2008 - 2009,"135,631.00","469,961.00",3.46,,
Uttar Pradesh,62. Rampur,2009 - 2010,"148,645.00","486,069.00",3.27,,
Uttar Pradesh,62. Rampur,2010 - 2011,"144,796.00","491,872.00",3.4,,
Uttar Pradesh,62. Rampur,2011 - 2012,"144,074.00","504,115.00",3.5,,
Uttar Pradesh,62. Rampur,2012 - 2013,"140,318.00","487,184.00",3.47,,
Uttar Pradesh,62. Rampur,2013 - 2014,"147,277.00","508,106.00",3.45,,
Uttar Pradesh,62. Rampur,2014 - 2015,"147,846.00","264,644.00",1.79,,
Uttar Pradesh,62. Rampur,2015 - 2016,"133,654.00","457,498.00",3.42,,
Uttar Pradesh,62. Rampur,2016 - 2017,"142,046.00","556,820.00",3.92,,
Uttar Pradesh,62. Rampur,2017 - 2018,"149,252.00","598,202.00",4.01,,
Uttar Pradesh,62. Rampur,2018 - 2019,"148,838.00","639,706.00",4.3,,
Uttar Pradesh,62. Rampur,2019 - 2020,"145,657.00","597,776.00",4.1,,
Uttar Pradesh,62. Rampur,2020 - 2021,"144,307.00","610,996.00",4.23,,
Uttar Pradesh,62. Rampur,2021 - 2022,"158,692.00","664,126.00",4.18,,
Uttar Pradesh,62. Rampur,2022 - 2023,"150,410.00","619,990.00",4.12,,
Uttar Pradesh,63. Saharanpur,1997 - 1998,"126,784.00","356,303.00",2.81,,
Uttar Pradesh,63. Saharanpur,1998 - 1999,"126,209.00","354,722.00",2.81,,
Uttar Pradesh,63. Saharanpur,1999 - 2000,"125,274.00","380,873.00",3.04,,
Uttar Pradesh,63. Saharanpur,2000 - 2001,"121,506.00","357,788.00",2.94,,
Uttar Pradesh,63. Saharanpur,2001 - 2002,"115,362.00","343,928.00",2.98,,
Uttar Pradesh,63. Saharanpur,2002 - 2003,"115,306.00","331,467.00",2.87,,
Uttar Pradesh,63. Saharanpur,2003 - 2004,"122,149.00","354,308.00",2.9,,
Uttar Pradesh,63. Saharanpur,2004 - 2005,"120,088.00","320,022.00",2.66,,
Uttar Pradesh,63. Saharanpur,2005 - 2006,"116,145.00","311,849.00",2.68,,
Uttar Pradesh,63. Saharanpur,2006 - 2007,"114,276.00","335,857.00",2.94,,
Uttar Pradesh,63. Saharanpur,2007 - 2008,"115,197.00","332,343.00",2.88,,
Uttar Pradesh,63. Saharanpur,2008 - 2009,"139,357.00","412,915.00",2.96,,
Uttar Pradesh,63. Saharanpur,2009 - 2010,"112,619.00","343,713.00",3.05,,
Uttar Pradesh,63. Saharanpur,2010 - 2011,"106,909.00","320,727.00",3.0,,
Uttar Pradesh,63. Saharanpur,2011 - 2012,"112,582.00","391,335.00",3.48,,
Uttar Pradesh,63. Saharanpur,2012 - 2013,"110,575.00","374,739.00",3.39,,
Uttar Pradesh,63. Saharanpur,2013 - 2014,"109,144.00","378,184.00",3.47,,
Uttar Pradesh,63. Saharanpur,2014 - 2015,"118,844.00","244,224.00",2.05,,
Uttar Pradesh,63. Saharanpur,2015 - 2016,"112,433.00","377,213.00",3.36,,
Uttar Pradesh,63. Saharanpur,2016 - 2017,"112,624.00","423,128.00",3.76,,
Uttar Pradesh,63. Saharanpur,2017 - 2018,"111,963.00","435,984.00",3.89,,
Uttar Pradesh,63. Saharanpur,2018 - 2019,"111,995.00","472,283.00",4.22,,
Uttar Pradesh,63. Saharanpur,2019 - 2020,"111,829.00","435,238.00",3.89,,
Uttar Pradesh,63. Saharanpur,2020 - 2021,"112,258.00","466,881.00",4.16,,
Uttar Pradesh,63. Saharanpur,2021 - 2022,"116,564.00","474,066.00",4.07,,
Uttar Pradesh,63. Saharanpur,2022 - 2023,"111,810.00","465,912.00",4.17,,
Uttar Pradesh,64. Sambhal,2012 - 2013,"140,493.00","450,702.00",3.21,,
Uttar Pradesh,64. Sambhal,2013 - 2014,"139,875.00","492,500.00",3.52,,
Uttar Pradesh,64. Sambhal,2014 - 2015,"143,456.00","283,613.00",1.98,,
Uttar Pradesh,64. Sambhal,2015 - 2016,"135,993.00","417,499.00",3.07,,
Uttar Pradesh,64. Sambhal,2016 - 2017,"136,437.00","476,574.00",3.49,,
Uttar Pradesh,64. Sambhal,2017 - 2018,"140,565.00","502,098.00",3.57,,
Uttar Pradesh,64. Sambhal,2018 - 2019,"139,858.00","564,047.00",4.03,,
Uttar Pradesh,64. Sambhal,2019 - 2020,"138,781.00","572,194.00",4.12,,
Uttar Pradesh,64. Sambhal,2020 - 2021,"138,648.00","567,764.00",4.1,,
Uttar Pradesh,64. Sambhal,2021 - 2022,"144,823.00","578,858.00",4.0,,
Uttar Pradesh,64. Sambhal,2022 - 2023,"138,066.00","568,004.00",4.11,,
Uttar Pradesh,65. Sant kabeer nagar,1997 - 1998,"79,324.00","184,883.00",2.33,,
Uttar Pradesh,65. Sant kabeer nagar,1998 - 1999,"78,031.00","167,957.00",2.15,,
