State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Unnamed: 6,Unnamed: 7
Uttar Pradesh,69. Shravasti,2004 - 2005,"58,437.00","134,523.00",2.3,,
Uttar Pradesh,69. Shravasti,2005 - 2006,"62,816.00","142,655.00",2.27,,
Uttar Pradesh,69. Shravasti,2006 - 2007,"58,426.00","153,251.00",2.62,,
Uttar Pradesh,69. Shravasti,2007 - 2008,"59,470.00","137,614.00",2.31,,
Uttar Pradesh,69. Shravasti,2008 - 2009,"60,890.00","162,515.00",2.67,,
Uttar Pradesh,69. Shravasti,2009 - 2010,"58,266.00","155,622.00",2.67,,
Uttar Pradesh,69. Shravasti,2010 - 2011,"62,301.00","169,210.00",2.72,,
Uttar Pradesh,69. Shravasti,2011 - 2012,"67,143.00","198,340.00",2.95,,
Uttar Pradesh,69. Shravasti,2012 - 2013,"63,787.00","171,523.00",2.69,,
Uttar Pradesh,69. Shravasti,2013 - 2014,"70,928.00","216,401.00",3.05,,
Uttar Pradesh,69. Shravasti,2014 - 2015,"68,165.00","182,410.00",2.68,,
Uttar Pradesh,69. Shravasti,2015 - 2016,"70,143.00","186,300.00",2.66,,
Uttar Pradesh,69. Shravasti,2016 - 2017,"70,872.00","212,687.00",3.0,,
Uttar Pradesh,69. Shravasti,2017 - 2018,"68,574.00","220,945.00",3.22,,
Uttar Pradesh,69. Shravasti,2018 - 2019,"72,186.00","246,948.00",3.42,,
Uttar Pradesh,69. Shravasti,2019 - 2020,"70,486.00","233,943.00",3.32,,
Uttar Pradesh,69. Shravasti,2020 - 2021,"70,402.00","238,944.00",3.39,,
Uttar Pradesh,69. Shravasti,2021 - 2022,"73,327.00","264,124.00",3.6,,
Uttar Pradesh,69. Shravasti,2022 - 2023,"98,200.00","328,970.00",3.35,,
Uttar Pradesh,70. Siddharth nagar,1997 - 1998,"125,071.00","265,528.00",2.12,,
Uttar Pradesh,70. Siddharth nagar,1998 - 1999,"125,339.00","289,935.00",2.31,,
Uttar Pradesh,70. Siddharth nagar,1999 - 2000,"128,653.00","377,736.00",2.94,,
Uttar Pradesh,70. Siddharth nagar,2000 - 2001,"130,412.00","357,941.00",2.74,,
Uttar Pradesh,70. Siddharth nagar,2001 - 2002,"128,961.00","312,721.00",2.42,,
Uttar Pradesh,70. Siddharth nagar,2002 - 2003,"148,348.00","303,272.00",2.04,,
Uttar Pradesh,70. Siddharth nagar,2003 - 2004,"144,404.00","353,931.00",2.45,,
Uttar Pradesh,70. Siddharth nagar,2004 - 2005,"145,118.00","252,776.00",1.74,,
Uttar Pradesh,70. Siddharth nagar,2005 - 2006,"145,043.00","371,890.00",2.56,,
Uttar Pradesh,70. Siddharth nagar,2006 - 2007,"152,837.00","385,149.00",2.52,,
Uttar Pradesh,70. Siddharth nagar,2007 - 2008,"167,141.00","375,232.00",2.25,,
Uttar Pradesh,70. Siddharth nagar,2008 - 2009,"167,255.00","422,821.00",2.53,,
Uttar Pradesh,70. Siddharth nagar,2009 - 2010,"166,621.00","388,394.00",2.33,,
Uttar Pradesh,70. Siddharth nagar,2010 - 2011,"159,332.00","499,984.00",3.14,,
Uttar Pradesh,70. Siddharth nagar,2011 - 2012,"157,619.00","537,638.00",3.41,,
Uttar Pradesh,70. Siddharth nagar,2012 - 2013,"159,883.00","567,105.00",3.55,,
Uttar Pradesh,70. Siddharth nagar,2013 - 2014,"157,897.00","596,693.00",3.78,,
Uttar Pradesh,70. Siddharth nagar,2014 - 2015,"161,544.00","408,222.00",2.53,,
Uttar Pradesh,70. Siddharth nagar,2015 - 2016,"150,792.00","503,947.00",3.34,,
Uttar Pradesh,70. Siddharth nagar,2016 - 2017,"156,380.00","618,796.00",3.96,,
Uttar Pradesh,70. Siddharth nagar,2017 - 2018,"158,257.00","629,705.00",3.98,,
Uttar Pradesh,70. Siddharth nagar,2018 - 2019,"157,672.00","689,815.00",4.38,,
Uttar Pradesh,70. Siddharth nagar,2019 - 2020,"157,091.00","636,847.00",4.05,,
Uttar Pradesh,70. Siddharth nagar,2020 - 2021,"156,385.00","619,597.00",3.96,,
Uttar Pradesh,70. Siddharth nagar,2021 - 2022,"163,931.00","673,101.00",4.11,,
Uttar Pradesh,70. Siddharth nagar,2022 - 2023,"180,842.00","723,911.00",4.0,,
Uttar Pradesh,71. Sitapur,1997 - 1998,"192,766.00","423,769.00",2.2,,
Uttar Pradesh,71. Sitapur,1998 - 1999,"199,123.00","443,661.00",2.23,,
Uttar Pradesh,71. Sitapur,1999 - 2000,"198,814.00","481,591.00",2.42,,
Uttar Pradesh,71. Sitapur,2000 - 2001,"206,207.00","459,802.00",2.23,,
Uttar Pradesh,71. Sitapur,2001 - 2002,"198,535.00","487,280.00",2.45,,
Uttar Pradesh,71. Sitapur,2002 - 2003,"198,589.00","484,999.00",2.44,,
Uttar Pradesh,71. Sitapur,2003 - 2004,"215,644.00","542,147.00",2.51,,
Uttar Pradesh,71. Sitapur,2004 - 2005,"209,974.00","476,720.00",2.27,,
Uttar Pradesh,71. Sitapur,2005 - 2006,"202,584.00","484,784.00",2.39,,
Uttar Pradesh,71. Sitapur,2006 - 2007,"190,985.00","522,614.00",2.74,,
Uttar Pradesh,71. Sitapur,2007 - 2008,"188,632.00","522,105.00",2.77,,
Uttar Pradesh,71. Sitapur,2008 - 2009,"223,913.00","656,513.00",2.93,,
Uttar Pradesh,71. Sitapur,2009 - 2010,"223,901.00","592,666.00",2.65,,
Uttar Pradesh,71. Sitapur,2010 - 2011,"217,102.00","665,418.00",3.07,,
Uttar Pradesh,71. Sitapur,2011 - 2012,"215,859.00","682,114.00",3.16,,
Uttar Pradesh,71. Sitapur,2012 - 2013,"212,016.00","674,635.00",3.18,,
Uttar Pradesh,71. Sitapur,2013 - 2014,"210,932.00","651,569.00",3.09,,
Uttar Pradesh,71. Sitapur,2014 - 2015,"208,675.00","372,484.00",1.78,,
Uttar Pradesh,71. Sitapur,2015 - 2016,"214,593.00","533,264.00",2.49,,
Uttar Pradesh,71. Sitapur,2016 - 2017,"212,207.00","715,562.00",3.37,,
Uttar Pradesh,71. Sitapur,2017 - 2018,"210,935.00","685,961.00",3.25,,
Uttar Pradesh,71. Sitapur,2018 - 2019,"205,409.00","714,823.00",3.48,,
Uttar Pradesh,71. Sitapur,2019 - 2020,"208,656.00","700,876.00",3.36,,
Uttar Pradesh,71. Sitapur,2020 - 2021,"210,592.00","764,449.00",3.63,,
Uttar Pradesh,71. Sitapur,2021 - 2022,"219,450.00","831,935.00",3.79,,
Uttar Pradesh,71. Sitapur,2022 - 2023,"209,869.00","793,305.00",3.78,,
Uttar Pradesh,72. Sonbhadra,1997 - 1998,"58,020.00","59,628.00",1.03,,
Uttar Pradesh,72. Sonbhadra,1998 - 1999,"58,323.00","62,289.00",1.07,,
Uttar Pradesh,72. Sonbhadra,1999 - 2000,"58,876.00","80,314.00",1.36,,
Uttar Pradesh,72. Sonbhadra,2000 - 2001,"59,174.00","71,567.00",1.21,,
Uttar Pradesh,72. Sonbhadra,2001 - 2002,"61,150.00","99,663.00",1.63,,
Uttar Pradesh,72. Sonbhadra,2002 - 2003,"63,344.00","105,689.00",1.67,,
Uttar Pradesh,72. Sonbhadra,2003 - 2004,"68,750.00","98,798.00",1.44,,
Uttar Pradesh,72. Sonbhadra,2004 - 2005,"52,029.00","53,275.00",1.02,,
Uttar Pradesh,72. Sonbhadra,2005 - 2006,"68,750.00","69,866.00",1.02,,
Uttar Pradesh,72. Sonbhadra,2006 - 2007,"52,112.00","67,457.00",1.29,,
Uttar Pradesh,72. Sonbhadra,2007 - 2008,"22,193.00","35,292.00",1.59,,
Uttar Pradesh,72. Sonbhadra,2008 - 2009,"47,669.00","71,770.00",1.51,,
Uttar Pradesh,72. Sonbhadra,2009 - 2010,"56,692.00","107,924.00",1.9,,
Uttar Pradesh,72. Sonbhadra,2010 - 2011,"53,912.00","92,894.00",1.72,,
Uttar Pradesh,72. Sonbhadra,2011 - 2012,"55,981.00","105,693.00",1.89,,
Uttar Pradesh,72. Sonbhadra,2012 - 2013,"54,811.00","117,261.00",2.14,,
Uttar Pradesh,72. Sonbhadra,2013 - 2014,"57,853.00","135,887.00",2.35,,
Uttar Pradesh,72. Sonbhadra,2014 - 2015,"57,789.00","117,617.00",2.04,,
Uttar Pradesh,72. Sonbhadra,2015 - 2016,"58,322.00","92,744.00",1.59,,
Uttar Pradesh,72. Sonbhadra,2016 - 2017,"56,012.00","134,857.00",2.41,,
Uttar Pradesh,72. Sonbhadra,2017 - 2018,"54,274.00","127,922.00",2.36,,
Uttar Pradesh,72. Sonbhadra,2018 - 2019,"57,964.00","156,734.00",2.7,,
Uttar Pradesh,72. Sonbhadra,2019 - 2020,"60,343.00","144,001.00",2.39,,
Uttar Pradesh,72. Sonbhadra,2020 - 2021,"57,786.00","151,646.00",2.62,,
Uttar Pradesh,72. Sonbhadra,2021 - 2022,"63,408.00","175,957.00",2.77,,
Uttar Pradesh,72. Sonbhadra,2022 - 2023,"81,130.00","231,058.00",2.85,,
Uttar Pradesh,73. Sultanpur,1997 - 1998,"162,420.00","428,513.00",2.64,,
Uttar Pradesh,73. Sultanpur,1998 - 1999,"163,360.00","393,140.00",2.41,,
Uttar Pradesh,73. Sultanpur,1999 - 2000,"163,955.00","443,276.00",2.7,,
Uttar Pradesh,73. Sultanpur,2000 - 2001,"163,002.00","413,259.00",2.54,,
Uttar Pradesh,73. Sultanpur,2001 - 2002,"163,760.00","431,839.00",2.64,,
Uttar Pradesh,73. Sultanpur,2002 - 2003,"165,268.00","424,135.00",2.57,,
Uttar Pradesh,73. Sultanpur,2003 - 2004,"166,983.00","462,053.00",2.77,,
Uttar Pradesh,73. Sultanpur,2004 - 2005,"167,024.00","422,457.00",2.53,,
Uttar Pradesh,73. Sultanpur,2005 - 2006,"164,944.00","425,554.00",2.58,,
Uttar Pradesh,73. Sultanpur,2006 - 2007,"165,817.00","452,172.00",2.73,,
Uttar Pradesh,73. Sultanpur,2007 - 2008,"168,720.00","471,569.00",2.79,,
Uttar Pradesh,73. Sultanpur,2008 - 2009,"169,501.00","478,331.00",2.82,,
Uttar Pradesh,73. Sultanpur,2009 - 2010,"169,281.00","462,122.00",2.73,,
Uttar Pradesh,73. Sultanpur,2010 - 2011,"103,237.00","327,043.00",3.17,,
Uttar Pradesh,73. Sultanpur,2011 - 2012,"104,286.00","332,464.00",3.19,,
Uttar Pradesh,73. Sultanpur,2012 - 2013,"104,661.00","325,914.00",3.11,,
Uttar Pradesh,73. Sultanpur,2013 - 2014,"104,250.00","256,247.00",2.46,,
Uttar Pradesh,73. Sultanpur,2014 - 2015,"104,295.00","238,836.00",2.29,,
Uttar Pradesh,73. Sultanpur,2015 - 2016,"116,068.00","329,401.00",2.84,,
Uttar Pradesh,73. Sultanpur,2016 - 2017,"101,118.00","342,487.00",3.39,,
Uttar Pradesh,73. Sultanpur,2017 - 2018,"114,555.00","461,653.00",4.03,,
Uttar Pradesh,73. Sultanpur,2018 - 2019,"104,661.00","436,855.00",4.17,,
Uttar Pradesh,73. Sultanpur,2019 - 2020,"104,036.00","412,815.00",3.97,,
Uttar Pradesh,73. Sultanpur,2020 - 2021,"104,600.00","403,756.00",3.86,,
Uttar Pradesh,73. Sultanpur,2021 - 2022,"109,991.00","447,663.00",4.07,,
Uttar Pradesh,73. Sultanpur,2022 - 2023,"116,559.00","449,568.00",3.86,,
Uttar Pradesh,74. Unnao,1997 - 1998,"193,705.00","436,790.00",2.25,,
Uttar Pradesh,74. Unnao,1998 - 1999,"197,635.00","430,859.00",2.18,,
Uttar Pradesh,74. Unnao,1999 - 2000,"207,814.00","518,877.00",2.5,,
Uttar Pradesh,74. Unnao,2000 - 2001,"206,256.00","469,647.00",2.28,,
Uttar Pradesh,74. Unnao,2001 - 2002,"209,993.00","515,813.00",2.46,,
Uttar Pradesh,74. Unnao,2002 - 2003,"213,721.00","538,964.00",2.52,,
Uttar Pradesh,74. Unnao,2003 - 2004,"218,556.00","565,367.00",2.59,,
Uttar Pradesh,74. Unnao,2004 - 2005,"223,707.00","542,488.00",2.42,,
Uttar Pradesh,74. Unnao,2005 - 2006,"218,555.00","520,358.00",2.38,,
Uttar Pradesh,74. Unnao,2006 - 2007,"222,960.00","638,307.00",2.86,,
Uttar Pradesh,74. Unnao,2007 - 2008,"226,162.00","599,103.00",2.65,,
Uttar Pradesh,74. Unnao,2008 - 2009,"232,176.00","686,542.00",2.96,,
Uttar Pradesh,74. Unnao,2009 - 2010,"236,773.00","653,471.00",2.76,,
Uttar Pradesh,74. Unnao,2010 - 2011,"239,040.00","708,754.00",2.97,,
Uttar Pradesh,74. Unnao,2011 - 2012,"240,711.00","718,277.00",2.98,,
Uttar Pradesh,74. Unnao,2012 - 2013,"240,113.00","686,003.00",2.86,,
Uttar Pradesh,74. Unnao,2013 - 2014,"241,717.00","736,753.00",3.05,,
Uttar Pradesh,74. Unnao,2014 - 2015,"243,188.00","488,078.00",2.01,,
Uttar Pradesh,74. Unnao,2015 - 2016,"237,761.00","528,305.00",2.22,,
Uttar Pradesh,74. Unnao,2016 - 2017,"242,102.00","772,547.00",3.19,,
Uttar Pradesh,74. Unnao,2017 - 2018,"244,358.00","798,318.00",3.27,,
Uttar Pradesh,74. Unnao,2018 - 2019,"241,879.00","937,039.00",3.87,,
Uttar Pradesh,74. Unnao,2019 - 2020,"242,533.00","801,572.00",3.31,,
Uttar Pradesh,74. Unnao,2020 - 2021,"242,573.00","844,154.00",3.48,,
Uttar Pradesh,74. Unnao,2021 - 2022,"252,710.00","861,741.00",3.41,,
Uttar Pradesh,74. Unnao,2022 - 2023,"241,665.00","846,794.00",3.5,,
Uttar Pradesh,75. Varanasi,1997 - 1998,"69,282.00","199,806.00",2.88,,
Uttar Pradesh,75. Varanasi,1998 - 1999,"68,591.00","154,746.00",2.26,,
Uttar Pradesh,75. Varanasi,1999 - 2000,"68,652.00","185,859.00",2.71,,
Uttar Pradesh,75. Varanasi,2000 - 2001,"67,491.00","170,635.00",2.53,,
Uttar Pradesh,75. Varanasi,2001 - 2002,"64,746.00","165,141.00",2.55,,
Uttar Pradesh,75. Varanasi,2002 - 2003,"66,918.00","142,279.00",2.13,,
Uttar Pradesh,75. Varanasi,2003 - 2004,"68,777.00","178,850.00",2.6,,
Uttar Pradesh,75. Varanasi,2004 - 2005,"69,457.00","132,019.00",1.9,,
Uttar Pradesh,75. Varanasi,2005 - 2006,"69,323.00","148,663.00",2.14,,
Uttar Pradesh,75. Varanasi,2006 - 2007,"69,702.00","176,671.00",2.53,,
Uttar Pradesh,75. Varanasi,2007 - 2008,"76,433.00","194,260.00",2.54,,
Uttar Pradesh,75. Varanasi,2008 - 2009,"69,728.00","196,842.00",2.82,,
Uttar Pradesh,75. Varanasi,2009 - 2010,"70,988.00","178,387.00",2.51,,
Uttar Pradesh,75. Varanasi,2010 - 2011,"70,642.00","198,007.00",2.8,,
Uttar Pradesh,75. Varanasi,2011 - 2012,"69,610.00","210,381.00",3.02,,
Uttar Pradesh,75. Varanasi,2012 - 2013,"69,705.00","214,609.00",3.08,,
Uttar Pradesh,75. Varanasi,2013 - 2014,"69,399.00","188,955.00",2.72,,
Uttar Pradesh,75. Varanasi,2014 - 2015,"68,617.00","127,010.00",1.85,,
Uttar Pradesh,75. Varanasi,2015 - 2016,"68,502.00","165,021.00",2.41,,
Uttar Pradesh,75. Varanasi,2016 - 2017,"70,914.00","239,146.00",3.37,,
Uttar Pradesh,75. Varanasi,2017 - 2018,"69,363.00","234,528.00",3.38,,
Uttar Pradesh,75. Varanasi,2018 - 2019,"68,973.00","241,128.00",3.5,,
Uttar Pradesh,75. Varanasi,2019 - 2020,"68,369.00","225,602.00",3.3,,
Uttar Pradesh,75. Varanasi,2020 - 2021,"69,795.00","256,304.00",3.67,,
Uttar Pradesh,75. Varanasi,2021 - 2022,"72,087.00","259,153.00",3.6,,
Uttar Pradesh,75. Varanasi,2022 - 2023,"70,793.00","173,726.00",2.45,,
