State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2014 - 2015,"195,559.00","534,072.00",2.73,,
,,2015 - 2016,"197,838.00","765,040.00",3.87,,
,,2016 - 2017,"195,357.00","834,370.00",4.27,,
,,2017 - 2018,"191,410.00","869,193.00",4.54,,
,,2018 - 2019,"201,066.00","910,427.00",4.53,,
,,2019 - 2020,"192,762.00","843,719.00",4.38,,
,,2020 - 2021,"194,116.00","854,887.00",4.4,,
,,2021 - 2022,"201,958.00","896,088.00",4.44,,
,,2022 - 2023,"195,453.00","837,712.00",4.29,,
,20. Chandauli,1997 - 1998,"88,884.00","173,762.00",1.95,,
,,1998 - 1999,"90,866.00","193,864.00",2.13,,
,,1999 - 2000,"89,290.00","197,005.00",2.21,,
,,2000 - 2001,"90,144.00","180,098.00",2,,
,,2001 - 2002,"85,526.00","171,414.00",2,,
,,2002 - 2003,"93,491.00","135,281.00",1.45,,
,,2003 - 2004,"94,005.00","190,076.00",2.02,,
,,2004 - 2005,"92,417.00","123,189.00",1.33,,
,,2005 - 2006,"94,309.00","163,179.00",1.73,,
,,2006 - 2007,"90,871.00","205,616.00",2.26,,
,,2007 - 2008,"93,371.00","210,889.00",2.26,,
,,2008 - 2009,"102,060.00","237,289.00",2.32,,
,,2009 - 2010,"97,225.00","201,256.00",2.07,,
,,2010 - 2011,"95,572.00","242,996.00",2.54,,
,,2011 - 2012,"92,874.00","236,179.00",2.54,,
,,2012 - 2013,"101,444.00","303,318.00",2.99,,
,,2013 - 2014,"102,339.00","268,640.00",2.63,,
,,2014 - 2015,"95,462.00","140,204.00",1.47,,
,,2015 - 2016,"97,645.00","187,312.00",1.92,,
,,2016 - 2017,"98,193.00","282,313.00",2.88,,
,,2017 - 2018,"111,873.00","376,676.00",3.37,,
,,2018 - 2019,"101,842.00","381,704.00",3.75,,
,,2019 - 2020,"100,039.00","340,833.00",3.41,,
,,2020 - 2021,"99,917.00","363,998.00",3.64,,
,,2021 - 2022,"105,445.00","371,483.00",3.52,,
,,2022 - 2023,"114,959.00","365,340.00",3.18,,
,21. Chitrakoot,1997 - 1998,"48,096.00","78,820.00",1.64,,
,,1998 - 1999,"50,445.00","95,489.00",1.89,,
,,1999 - 2000,"50,387.00","98,278.00",1.95,,
,,2000 - 2001,"51,700.00","80,421.00",1.56,,
,,2001 - 2002,"53,575.00","111,241.00",2.08,,
,,2002 - 2003,"56,890.00","125,996.00",2.21,,
,,2003 - 2004,"56,834.00","128,539.00",2.26,,
,,2004 - 2005,"52,365.00","86,467.00",1.65,,
,,2005 - 2006,"56,020.00","85,368.00",1.52,,
,,2006 - 2007,"52,023.00","65,182.00",1.25,,
,,2007 - 2008,"43,151.00","51,049.00",1.18,,
,,2008 - 2009,"49,309.00","84,567.00",1.72,,
,,2009 - 2010,"51,978.00","97,688.00",1.88,,
,,2010 - 2011,"48,407.00","86,336.00",1.78,,
,,2011 - 2012,"48,561.00","121,581.00",2.5,,
,,2012 - 2013,"54,253.00","130,500.00",2.41,,
,,2013 - 2014,"52,387.00","102,460.00",1.96,,
,,2014 - 2015,"54,500.00","60,877.00",1.12,,
,,2015 - 2016,"59,917.00","71,499.00",1.19,,
,,2016 - 2017,"49,779.00","154,137.00",3.1,,
,,2017 - 2018,"49,779.00","131,412.00",2.64,,
,,2018 - 2019,"49,808.00","135,073.00",2.71,,
,,2019 - 2020,"53,793.00","142,714.00",2.65,,
,,2020 - 2021,"49,779.00","164,687.00",3.31,,
,,2021 - 2022,"50,750.00","161,842.00",3.19,,
,,2022 - 2023,"79,992.00","251,175.00",3.14,,
,22. Deoria,1997 - 1998,"130,934.00","301,647.00",2.3,,
,,1998 - 1999,"137,653.00","326,272.00",2.37,,
,,1999 - 2000,"134,676.00","359,141.00",2.67,,
,,2000 - 2001,"139,398.00","387,008.00",2.78,,
,,2001 - 2002,"142,765.00","374,727.00",2.62,,
,,2002 - 2003,"141,432.00","307,774.00",2.18,,
,,2003 - 2004,"147,656.00","378,573.00",2.56,,
,,2004 - 2005,"147,932.00","350,355.00",2.37,,
,,2005 - 2006,"151,399.00","330,807.00",2.19,,
,,2006 - 2007,"126,116.00","316,501.00",2.51,,
,,2007 - 2008,"146,212.00","402,668.00",2.75,,
,,2008 - 2009,"152,129.00","413,334.00",2.72,,
,,2009 - 2010,"147,477.00","374,592.00",2.54,,
,,2010 - 2011,"148,681.00","440,839.00",2.96,,
,,2011 - 2012,"148,224.00","456,975.00",3.08,,
,,2012 - 2013,"155,756.00","483,934.00",3.11,,
,,2013 - 2014,"156,285.00","472,628.00",3.02,,
,,2014 - 2015,"155,105.00","291,133.00",1.88,,
,,2015 - 2016,"156,721.00","398,853.00",2.54,,
,,2016 - 2017,"152,148.00","508,783.00",3.34,,
,,2017 - 2018,"153,401.00","482,139.00",3.14,,
,,2018 - 2019,"152,006.00","505,572.00",3.33,,
,,2019 - 2020,"153,059.00","513,972.00",3.36,,
,,2020 - 2021,"153,125.00","533,028.00",3.48,,
,,2021 - 2022,"159,816.00","534,585.00",3.35,,
,,2022 - 2023,"172,605.00","636,049.00",3.68,,
,23. Etah,1997 - 1998,"194,802.00","574,644.00",2.95,,
,,1998 - 1999,"189,559.00","527,475.00",2.78,,
,,1999 - 2000,"200,249.00","597,906.00",2.99,,
,,2000 - 2001,"194,161.00","629,715.00",3.24,,
,,2001 - 2002,"217,924.00","645,729.00",2.96,,
,,2002 - 2003,"214,649.00","594,321.00",2.77,,
,,2003 - 2004,"217,830.00","676,277.00",3.1,,
,,2004 - 2005,"223,926.00","564,185.00",2.52,,
,,2005 - 2006,"206,806.00","571,819.00",2.77,,
,,2006 - 2007,"227,576.00","644,495.00",2.83,,
,,2007 - 2008,"222,498.00","625,664.00",2.81,,
,,2008 - 2009,"228,431.00","734,406.00",3.22,,
,,2009 - 2010,"135,064.00","410,189.00",3.04,,
,,2010 - 2011,"136,560.00","442,318.00",3.24,,
,,2011 - 2012,"135,549.00","475,641.00",3.51,,
,,2012 - 2013,"136,461.00","462,193.00",3.39,,
,,2013 - 2014,"134,108.00","484,935.00",3.62,,
,,2014 - 2015,"133,604.00","264,536.00",1.98,,
,,2015 - 2016,"134,326.00","389,680.00",2.9,,
,,2016 - 2017,"134,940.00","523,702.00",3.88,,
,,2017 - 2018,"135,296.00","528,872.00",3.91,,
,,2018 - 2019,"135,884.00","522,202.00",3.84,,
,,2019 - 2020,"136,510.00","566,653.00",4.15,,
,,2020 - 2021,"137,493.00","567,296.00",4.13,,
,,2021 - 2022,"140,723.00","547,412.00",3.89,,
,,2022 - 2023,"135,849.00","562,279.00",4.14,,
,24. Etawah,1997 - 1998,"81,044.00","193,022.00",2.38,,
,,1998 - 1999,"81,639.00","258,737.00",3.17,,
,,1999 - 2000,"84,513.00","261,279.00",3.09,,
,,2000 - 2001,"87,411.00","239,666.00",2.74,,
,,2001 - 2002,"87,152.00","259,933.00",2.98,,
,,2002 - 2003,"85,848.00","267,416.00",3.11,,
,,2003 - 2004,"88,351.00","275,992.00",3.12,,
,,2004 - 2005,"89,322.00","252,425.00",2.83,,
,,2005 - 2006,"88,995.00","271,969.00",3.06,,
,,2006 - 2007,"88,342.00","285,080.00",3.23,,
,,2007 - 2008,"91,660.00","254,906.00",2.78,,
,,2008 - 2009,"93,502.00","325,667.00",3.48,,
,,2009 - 2010,"93,568.00","272,624.00",2.91,,
,,2010 - 2011,"94,864.00","334,111.00",3.52,,
,,2011 - 2012,"94,353.00","363,087.00",3.85,,
,,2012 - 2013,"93,695.00","366,688.00",3.91,,
,,2013 - 2014,"96,592.00","360,658.00",3.73,,
,,2014 - 2015,"96,640.00","164,868.00",1.71,,
,,2015 - 2016,"97,645.00","324,767.00",3.33,,
,,2016 - 2017,"99,202.00","410,696.00",4.14,,
,,2017 - 2018,"96,033.00","360,508.00",3.75,,
,,2018 - 2019,"96,027.00","419,734.00",4.37,,
,,2019 - 2020,"95,396.00","392,364.00",4.11,,
,,2020 - 2021,"95,976.00","395,887.00",4.12,,
,,2021 - 2022,"104,603.00","400,943.00",3.83,,
,,2022 - 2023,"100,105.00","405,625.00",4.05,,
,25. Faizabad,1997 - 1998,"99,193.00","237,786.00",2.4,,
,,1998 - 1999,"98,090.00","218,734.00",2.23,,
,,1999 - 2000,"95,938.00","251,946.00",2.63,,
,,2000 - 2001,"97,812.00","230,591.00",2.36,,
,,2001 - 2002,"98,729.00","236,163.00",2.39,,
,,2002 - 2003,"97,663.00","212,781.00",2.18,,
,,2003 - 2004,"79,203.00","208,895.00",2.64,,
,,2004 - 2005,"79,102.00","188,020.00",2.38,,
,,2005 - 2006,"76,155.00","198,841.00",2.61,,
,,2006 - 2007,"78,887.00","211,812.00",2.69,,
,,2007 - 2008,"79,242.00","218,549.00",2.76,,
,,2008 - 2009,"103,796.00","292,601.00",2.82,,
,,2009 - 2010,"108,013.00","282,454.00",2.62,,
,,2010 - 2011,"108,951.00","307,133.00",2.82,,
,,2011 - 2012,"109,023.00","322,926.00",2.96,,
,,2012 - 2013,"108,071.00","319,782.00",2.96,,
,,2013 - 2014,"109,098.00","269,145.00",2.47,,
,,2014 - 2015,"110,261.00","227,138.00",2.06,,
,,2015 - 2016,"109,189.00","299,178.00",2.74,,
,,2016 - 2017,"110,742.00","364,230.00",3.29,,
,,2017 - 2018,"109,263.00","412,905.00",3.78,,
,,2018 - 2019,"106,251.00","413,104.00",3.89,,
,,2019 - 2020,"110,184.00","409,113.00",3.71,,
,,2020 - 2021,"112,366.00","396,436.00",3.53,,
,,2021 - 2022,"115,607.00","392,601.00",3.4,,
,,2022 - 2023,"107,032.00","339,077.00",3.17,,
,26. Farrukhabad,1997 - 1998,"94,534.00","292,795.00",3.1,,
,,1998 - 1999,"77,647.00","236,235.00",3.04,,
,,1999 - 2000,"74,750.00","252,911.00",3.38,,
,,2000 - 2001,"75,611.00","252,984.00",3.35,,
,,2001 - 2002,"77,062.00","258,113.00",3.35,,
,,2002 - 2003,"72,818.00","231,451.00",3.18,,
,,2003 - 2004,"72,123.00","238,044.00",3.3,,
,,2004 - 2005,"73,316.00","214,029.00",2.92,,
,,2005 - 2006,"73,872.00","230,729.00",3.12,,
,,2006 - 2007,"70,779.00","230,669.00",3.26,,
,,2007 - 2008,"70,024.00","221,827.00",3.17,,
,,2008 - 2009,"71,375.00","245,276.00",3.44,,
,,2009 - 2010,"72,185.00","249,945.00",3.46,,
,,2010 - 2011,"73,371.00","263,012.00",3.58,,
,,2011 - 2012,"74,481.00","282,655.00",3.79,,
,,2012 - 2013,"75,378.00","272,429.00",3.61,,
,,2013 - 2014,"75,776.00","263,950.00",3.48,,
,,2014 - 2015,"77,049.00","180,327.00",2.34,,
,,2015 - 2016,"72,690.00","230,500.00",3.17,,
,,2016 - 2017,"76,769.00","301,011.00",3.92,,
,,2017 - 2018,"75,117.00","337,876.00",4.5,,
,,2018 - 2019,"75,581.00","323,638.00",4.28,,
,,2019 - 2020,"76,309.00","320,956.00",4.21,,
,,2020 - 2021,"76,415.00","311,773.00",4.08,,
,,2021 - 2022,"78,229.00","303,294.00",3.88,,
,,2022 - 2023,"75,116.00","311,055.00",4.14,,
,27. Fatehpur,1997 - 1998,"140,168.00","333,772.00",2.38,,
,,1998 - 1999,"144,452.00","338,608.00",2.34,,
,,1999 - 2000,"145,628.00","371,498.00",2.55,,
,,2000 - 2001,"147,261.00","341,041.00",2.32,,
,,2001 - 2002,"150,750.00","379,008.00",2.51,,
,,2002 - 2003,"148,593.00","364,425.00",2.45,,
,,2003 - 2004,"151,769.00","398,603.00",2.63,,
,,2004 - 2005,"151,430.00","362,240.00",2.39,,
,,2005 - 2006,"150,047.00","323,915.00",2.16,,
,,2006 - 2007,"147,236.00","363,910.00",2.47,,
,,2007 - 2008,"151,705.00","390,680.00",2.58,,
,,2008 - 2009,"156,740.00","454,552.00",2.9,,
,,2009 - 2010,"161,632.00","442,702.00",2.74,,
,,2010 - 2011,"163,606.00","535,491.00",3.27,,
,,2011 - 2012,"169,259.00","554,352.00",3.28,,
,,2012 - 2013,"170,681.00","560,591.00",3.28,,
,,2013 - 2014,"174,453.00","595,895.00",3.42,,
,,2014 - 2015,"174,246.00","341,436.00",1.96,,
,,2015 - 2016,"185,392.00","460,640.00",2.48,,
,,2016 - 2017,"175,797.00","614,404.00",3.49,,
,,2017 - 2018,"170,171.00","591,435.00",3.48,,
,,2018 - 2019,"172,432.00","687,681.00",3.99,,
,,2019 - 2020,"179,472.00","710,602.00",3.96,,
,,2020 - 2021,"173,279.00","657,710.00",3.8,,
,,2021 - 2022,"179,293.00","656,212.00",3.66,,
,,2022 - 2023,"171,841.00","645,950.00",3.76,,
,28. Firozabad,1997 - 1998,"91,897.00","245,553.00",2.67,,
,,1998 - 1999,"97,789.00","281,877.00",2.88,,
,,1999 - 2000,"100,733.00","320,940.00",3.19,,
,,2000 - 2001,"109,295.00","305,190.00",2.79,,
,,2001 - 2002,"110,573.00","322,196.00",2.91,,
,,2002 - 2003,"105,238.00","299,221.00",2.84,,
,,2003 - 2004,"104,505.00","330,205.00",3.16,,
,,2004 - 2005,"102,786.00","288,431.00",2.81,,
,,2005 - 2006,"99,965.00","310,091.00",3.1,,
,,2006 - 2007,"105,443.00","309,475.00",2.93,,
,,2007 - 2008,"95,100.00","312,308.00",3.28,,
,,2008 - 2009,"88,042.00","304,153.00",3.45,,
,,2009 - 2010,"105,758.00","355,770.00",3.36,,
,,2010 - 2011,"101,839.00","371,203.00",3.64,,
,,2011 - 2012,"104,278.00","376,548.00",3.61,,
,,2012 - 2013,"99,498.00","368,839.00",3.71,,
,,2013 - 2014,"96,543.00","348,520.00",3.61,,
,,2014 - 2015,"97,764.00","188,098.00",1.92,,
,,2015 - 2016,"98,225.00","322,866.00",3.29,,
,,2016 - 2017,"101,518.00","385,261.00",3.8,,
,,2017 - 2018,"95,997.00","325,910.00",3.4,,
,,2018 - 2019,"92,948.00","350,228.00",3.77,,
,,2019 - 2020,"101,892.00","412,663.00",4.05,,
,,2020 - 2021,"100,567.00","416,146.00",4.14,,
,,2021 - 2022,"104,209.00","368,275.00",3.53,,
,,2022 - 2023,"100,972.00","427,515.00",4.23,,
,29. Gautam buddha nagar,1997 - 1998,"69,804.00","238,346.00",3.41,,
,,1998 - 1999,"69,684.00","210,070.00",3.01,,
,,1999 - 2000,"74,396.00","243,924.00",3.28,,
,,2000 - 2001,"77,919.00","265,801.00",3.41,,
,,2001 - 2002,"71,796.00","268,049.00",3.73,,
,,2002 - 2003,"70,172.00","234,401.00",3.34,,
,,2003 - 2004,"64,627.00","206,086.00",3.19,,
,,2004 - 2005,"63,852.00","203,720.00",3.19,,
,,2005 - 2006,"66,416.00","196,193.00",2.95,,
,,2006 - 2007,"62,746.00","180,646.00",2.88,,
,,2007 - 2008,"64,236.00","203,628.00",3.17,,
,,2008 - 2009,"55,965.00","194,590.00",3.48,,
,,2009 - 2010,"51,450.00","184,140.00",3.58,,
,,2010 - 2011,"56,346.00","210,227.00",3.73,,
,,2011 - 2012,"54,549.00","204,668.00",3.75,,
,,2012 - 2013,"45,934.00","178,591.00",3.89,,
,,2013 - 2014,"46,130.00","192,731.00",4.18,,
,,2014 - 2015,"40,032.00","85,909.00",2.15,,
,,2015 - 2016,"44,330.00","151,742.00",3.42,,
,,2016 - 2017,"44,069.00","179,846.00",4.08,,
,,2017 - 2018,"41,229.00","160,876.00",3.9,,
,,2018 - 2019,"44,864.00","185,647.00",4.14,,
,,2019 - 2020,"44,802.00","189,199.00",4.22,,
,,2020 - 2021,"44,305.00","177,973.00",4.02,,
,,2021 - 2022,"45,969.00","176,935.00",3.85,,
,,2022 - 2023,"44,552.00","180,792.00",4.06,,
,30. Ghaziabad,1997 - 1998,"70,500.00","240,759.00",3.42,,
,,1998 - 1999,"71,003.00","234,413.00",3.3,,
,,1999 - 2000,"70,148.00","260,168.00",3.71,,
,,2000 - 2001,"71,538.00","246,947.00",3.45,,
,,2001 - 2002,"71,185.00","248,855.00",3.5,,
,,2002 - 2003,"70,297.00","255,201.00",3.63,,
,,2003 - 2004,"95,923.00","339,200.00",3.54,,
,,2004 - 2005,"72,749.00","249,626.00",3.43,,
,,2005 - 2006,"90,516.00","318,888.00",3.52,,
,,2006 - 2007,"71,835.00","288,346.00",4.01,,
,,2007 - 2008,"71,031.00","255,072.00",3.59,,
,,2008 - 2009,"75,503.00","303,975.00",4.03,,
,,2009 - 2010,"76,071.00","267,846.00",3.52,,
,,2010 - 2011,"76,344.00","317,667.00",4.16,,
,,2011 - 2012,"75,491.00","329,594.00",4.37,,
,,2012 - 2013,"28,227.00","123,550.00",4.38,,
,,2013 - 2014,"28,164.00","115,726.00",4.11,,
,,2014 - 2015,"26,619.00","86,645.00",3.26,,
,,2015 - 2016,"27,082.00","97,766.00",3.61,,
,,2016 - 2017,"28,064.00","116,858.00",4.16,,
,,2017 - 2018,"27,714.00","111,743.00",4.03,,
,,2018 - 2019,"28,690.00","122,019.00",4.25,,
,,2019 - 2020,"29,429.00","120,894.00",4.11,,
,,2020 - 2021,"28,112.00","119,926.00",4.27,,
,,2021 - 2022,"29,658.00","124,534.00",4.2,,
,,2022 - 2023,"28,373.00","112,783.00",3.98,,
,31. Ghazipur,1997 - 1998,"152,800.00","331,580.00",2.17,,
,,1998 - 1999,"156,085.00","321,252.00",2.06,,
,,1999 - 2000,"158,525.00","359,991.00",2.27,,
,,2000 - 2001,"159,280.00","370,621.00",2.33,,
,,2001 - 2002,"160,607.00","362,010.00",2.25,,
,,2002 - 2003,"164,069.00","297,781.00",1.81,,
,,2003 - 2004,"166,184.00","376,858.00",2.27,,
,,2004 - 2005,"166,153.00","301,366.00",1.81,,
,,2005 - 2006,"166,891.00","366,826.00",2.2,,
,,2006 - 2007,"166,359.00","403,735.00",2.43,,
,,2007 - 2008,"167,715.00","405,963.00",2.42,,
,,2008 - 2009,"173,793.00","462,247.00",2.66,,
,,2009 - 2010,"169,681.00","394,808.00",2.33,,
,,2010 - 2011,"171,211.00","462,161.00",2.7,,
,,2011 - 2012,"173,018.00","486,392.00",2.81,,
,,2012 - 2013,"174,612.00","501,740.00",2.87,,
,,2013 - 2014,"174,040.00","456,998.00",2.63,,
,,2014 - 2015,"175,209.00","309,379.00",1.77,,
,,2015 - 2016,"193,108.00","460,775.00",2.39,,
,,2016 - 2017,"180,106.00","577,943.00",3.21,,
,,2017 - 2018,"166,213.00","494,151.00",2.97,,
,,2018 - 2019,"170,198.00","560,973.00",3.3,,
,,2019 - 2020,"184,666.00","636,359.00",3.45,,
,,2020 - 2021,"183,259.00","638,291.00",3.48,,
,,2021 - 2022,"180,612.00","701,136.00",3.88,,
,,2022 - 2023,"187,825.00","675,607.00",3.6,,
,32. Gonda,1997 - 1998,"152,619.00","369,830.00",2.42,,
,,1998 - 1999,"158,559.00","408,602.00",2.58,,
,,1999 - 2000,"154,907.00","395,077.00",2.55,,
,,2000 - 2001,"157,737.00","410,313.00",2.6,,
,,2001 - 2002,"159,960.00","431,366.00",2.7,,
,,2002 - 2003,"162,217.00","403,997.00",2.49,,
,,2003 - 2004,"159,146.00","433,629.00",2.72,,
,,2004 - 2005,"159,340.00","376,571.00",2.36,,
,,2005 - 2006,"163,109.00","406,305.00",2.49,,
,,2006 - 2007,"156,719.00","428,758.00",2.74,,
,,2007 - 2008,"149,982.00","416,642.00",2.78,,
,,2008 - 2009,"147,363.00","429,268.00",2.91,,
,,2009 - 2010,"159,290.00","433,269.00",2.72,,
,,2010 - 2011,"160,011.00","468,992.00",2.93,,
,,2011 - 2012,"160,915.00","483,550.00",3.01,,
,,2012 - 2013,"155,802.00","454,007.00",2.91,,
,,2013 - 2014,"153,277.00","456,919.00",2.98,,
,,2014 - 2015,"154,990.00","401,889.00",2.59,,
,,2015 - 2016,"157,831.00","436,561.00",2.77,,
,,2016 - 2017,"155,876.00","482,592.00",3.1,,
,,2017 - 2018,"154,304.00","463,529.00",3,,
,,2018 - 2019,"146,855.00","462,593.00",3.15,,
,,2019 - 2020,"155,438.00","510,148.00",3.28,,
,,2020 - 2021,"154,832.00","519,461.00",3.35,,
,,2021 - 2022,"160,294.00","524,963.00",3.28,,
,,2022 - 2023,"153,425.00","489,119.00",3.19,,
,33. Gorakhpur,1997 - 1998,"172,165.00","386,693.00",2.25,,
,,1998 - 1999,"180,742.00","417,867.00",2.31,,
,,1999 - 2000,"178,806.00","434,243.00",2.43,,
,,2000 - 2001,"180,722.00","431,174.00",2.39,,
,,2001 - 2002,"187,175.00","494,151.00",2.64,,
,,2002 - 2003,"185,344.00","389,444.00",2.1,,
,,2003 - 2004,"188,283.00","445,288.00",2.36,,
,,2004 - 2005,"184,279.00","441,701.00",2.4,,
,,2005 - 2006,"187,412.00","410,807.00",2.19,,
,,2006 - 2007,"184,304.00","465,368.00",2.53,,
,,2007 - 2008,"186,639.00","512,996.00",2.75,,
,,2008 - 2009,"188,362.00","512,497.00",2.72,,
,,2009 - 2010,"189,211.00","501,319.00",2.65,,
,,2010 - 2011,"190,446.00","557,387.00",2.93,,
,,2011 - 2012,"188,998.00","578,523.00",3.06,,
,,2012 - 2013,"190,259.00","592,467.00",3.11,,
,,2013 - 2014,"190,537.00","618,676.00",3.25,,
,,2014 - 2015,"190,247.00","331,410.00",1.74,,
,,2015 - 2016,"190,692.00","424,862.00",2.23,,
,,2016 - 2017,"191,384.00","697,598.00",3.65,,
,,2017 - 2018,"192,243.00","814,341.00",4.24,,
,,2018 - 2019,"181,728.00","730,099.00",4.02,,
,,2019 - 2020,"190,449.00","703,896.00",3.7,,
,,2020 - 2021,"190,783.00","714,103.00",3.74,,
,,2021 - 2022,"202,056.00","733,463.00",3.63,,
,,2022 - 2023,"196,530.00","741,901.00",3.78,,
,34. Hamirpur,1997 - 1998,"90,998.00","165,253.00",1.82,,
,,1998 - 1999,"86,392.00","184,098.00",2.13,,
,,1999 - 2000,"91,166.00","217,795.00",2.39,,
,,2000 - 2001,"83,658.00","167,500.00",2,,
,,2001 - 2002,"83,234.00","183,181.00",2.2,,
,,2002 - 2003,"79,609.00","171,062.00",2.15,,
,,2003 - 2004,"82,199.00","190,150.00",2.31,,
,,2004 - 2005,"74,974.00","130,023.00",1.73,,
,,2005 - 2006,"74,916.00","174,709.00",2.33,,
,,2006 - 2007,"82,453.00","168,500.00",2.04,,
,,2007 - 2008,"63,790.00","118,391.00",1.86,,
,,2008 - 2009,"98,732.00","244,034.00",2.47,,
,,2009 - 2010,"89,212.00","225,092.00",2.52,,
,,2010 - 2011,"95,371.00","254,843.00",2.67,,
,,2011 - 2012,"91,427.00","265,718.00",2.91,,
,,2012 - 2013,"113,299.00","322,731.00",2.85,,
,,2013 - 2014,"111,347.00","298,733.00",2.68,,
,,2014 - 2015,"113,329.00","171,992.00",1.52,,
,,2015 - 2016,"97,490.00","170,850.00",1.75,,
,,2016 - 2017,"135,069.00","410,133.00",3.04,,
,,2017 - 2018,"113,112.00","354,013.00",3.13,,
,,2018 - 2019,"113,456.00","364,235.00",3.21,,
,,2019 - 2020,"111,468.00","364,655.00",3.27,,
,,2020 - 2021,"110,320.00","354,265.00",3.21,,
,,2021 - 2022,"117,657.00","378,150.00",3.21,,
,,2022 - 2023,"143,552.00","461,807.00",3.22,,
,35. Hapur,2012 - 2013,"43,672.00","207,835.00",4.76,,
,,2013 - 2014,"42,412.00","197,216.00",4.65,,
,,2014 - 2015,"44,552.00","136,507.00",3.06,,
,,2015 - 2016,"41,873.00","160,792.00",3.84,,
,,2016 - 2017,"42,279.00","187,000.00",4.42,,
,,2017 - 2018,"42,670.00","177,251.00",4.15,,
,,2018 - 2019,"42,174.00","177,848.00",4.22,,
,,2019 - 2020,"42,066.00","188,624.00",4.48,,
,,2020 - 2021,"43,488.00","181,823.00",4.18,,
,,2021 - 2022,"45,245.00","197,947.00",4.38,,
,,2022 - 2023,"40,962.00","173,761.00",4.24,,
,36. Hardoi,1997 - 1998,"268,143.00","661,994.00",2.47,,
,,1998 - 1999,"269,042.00","680,818.00",2.53,,
,,1999 - 2000,"280,467.00","781,594.00",2.79,,
,,2000 - 2001,"294,156.00","798,160.00",2.71,,
,,2001 - 2002,"305,726.00","795,789.00",2.6,,
,,2002 - 2003,"303,374.00","868,139.00",2.86,,
,,2003 - 2004,"306,396.00","866,936.00",2.83,,
,,2004 - 2005,"312,973.00","821,886.00",2.63,,
,,2005 - 2006,"300,504.00","800,543.00",2.66,,
,,2006 - 2007,"307,716.00","923,145.00",3,,
,,2007 - 2008,"309,644.00","924,287.00",2.98,,
,,2008 - 2009,"325,908.00","1,009,330.00",3.1,,
,,2009 - 2010,"330,637.00","1,020,013.00",3.08,,
,,2010 - 2011,"341,765.00","1,139,960.00",3.34,,
,,2011 - 2012,"327,969.00","1,176,241.00",3.59,,
,,2012 - 2013,"327,776.00","1,041,832.00",3.18,,
,,2013 - 2014,"318,253.00","1,130,771.00",3.55,,
,,2014 - 2015,"326,194.00","719,258.00",2.21,,
,,2015 - 2016,"326,565.00","980,017.00",3,,
,,2016 - 2017,"314,474.00","1,143,427.00",3.64,,
,,2017 - 2018,"314,432.00","1,155,223.00",3.67,,
,,2018 - 2019,"311,849.00","1,159,455.00",3.72,,
,,2019 - 2020,"315,210.00","1,125,615.00",3.57,,
,,2020 - 2021,"320,441.00","1,200,052.00",3.75,,
,,2021 - 2022,"329,234.00","1,248,455.00",3.79,,
,,2022 - 2023,"305,898.00","1,196,979.00",3.91,,
,37. Hathras,1997 - 1998,"83,956.00","282,738.00",3.37,,
,,1998 - 1999,"82,530.00","279,550.00",3.39,,
,,1999 - 2000,"84,433.00","303,250.00",3.59,,
,,2000 - 2001,"99,205.00","342,160.00",3.45,,
,,2001 - 2002,"96,473.00","296,188.00",3.07,,
,,2002 - 2003,"93,992.00","313,339.00",3.33,,
,,2003 - 2004,"92,938.00","297,247.00",3.2,,
,,2004 - 2005,"92,265.00","280,353.00",3.04,,
,,2005 - 2006,"81,572.00","255,076.00",3.13,,
,,2006 - 2007,"85,405.00","238,280.00",2.79,,
,,2007 - 2008,"82,596.00","253,983.00",3.08,,
,,2008 - 2009,"77,916.00","226,813.00",2.91,,
,,2009 - 2010,"85,579.00","237,824.00",2.78,,
,,2010 - 2011,"80,230.00","243,177.00",3.03,,
,,2011 - 2012,"86,515.00","290,777.00",3.36,,
,,2012 - 2013,"76,850.00","275,584.00",3.59,,
,,2013 - 2014,"79,227.00","308,906.00",3.9,,
,,2014 - 2015,"82,134.00","191,947.00",2.34,,
,,2015 - 2016,"75,908.00","265,298.00",3.49,,
,,2016 - 2017,"78,656.00","319,815.00",4.07,,
,,2017 - 2018,"82,643.00","312,225.00",3.78,,
,,2018 - 2019,"81,137.00","336,232.00",4.14,,
,,2019 - 2020,"82,795.00","330,683.00",3.99,,
,,2020 - 2021,"82,467.00","337,785.00",4.1,,
,,2021 - 2022,"85,798.00","340,446.00",3.97,,
,,2022 - 2023,"78,596.00","316,585.00",4.03,,
,38. Jalaun,1997 - 1998,"107,680.00","246,624.00",2.29,,
,,1998 - 1999,"102,623.00","292,601.00",2.85,,
,,1999 - 2000,"115,812.00","377,398.00",3.26,,
,,2000 - 2001,"117,674.00","339,140.00",2.88,,
,,2001 - 2002,"125,152.00","412,320.00",3.29,,
,,2002 - 2003,"127,202.00","388,518.00",3.05,,
,,2003 - 2004,"130,683.00","389,793.00",2.98,,
,,2004 - 2005,"116,483.00","370,251.00",3.18,,
,,2005 - 2006,"121,025.00","372,083.00",3.07,,
,,2006 - 2007,"116,484.00","328,038.00",2.82,,
,,2007 - 2008,"103,722.00","174,829.00",1.69,,
,,2008 - 2009,"157,937.00","498,571.00",3.16,,
,,2009 - 2010,"143,554.00","401,291.00",2.8,,
,,2010 - 2011,"135,223.00","432,152.00",3.2,,
