State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2013 - 2014,"127,180.00","302,688.00",2.38,,
,,2014 - 2015,"95,382.00","173,595.00",1.82,,
,,2015 - 2016,"93,992.00","223,231.00",2.38,,
,,2016 - 2017,"126,984.00","388,698.00",3.06,,
,,2017 - 2018,"128,799.00","499,225.00",3.88,,
,,2018 - 2019,"129,363.00","458,204.00",3.54,,
,,2019 - 2020,"126,155.00","389,314.00",3.09,,
,,2020 - 2021,"127,185.00","493,223.00",3.88,,
,,2021 - 2022,"138,543.00","445,416.00",3.22,,
,,2022 - 2023,"129,528.00","381,460.00",2.95,,
,6. Amroha,1997 - 1998,"101,429.00","284,513.00",2.81,,
,,1998 - 1999,"103,684.00","302,560.00",2.92,,
,,1999 - 2000,"94,302.00","289,422.00",3.07,,
,,2000 - 2001,"95,440.00","285,847.00",3,,
,,2001 - 2002,"94,076.00","302,672.00",3.22,,
,,2002 - 2003,"90,591.00","262,505.00",2.9,,
,,2003 - 2004,"92,947.00","288,702.00",3.11,,
,,2004 - 2005,"95,068.00","236,618.00",2.49,,
,,2005 - 2006,"87,386.00","253,682.00",2.9,,
,,2006 - 2007,"89,902.00","282,472.00",3.14,,
,,2007 - 2008,"92,289.00","277,421.00",3.01,,
,,2008 - 2009,"94,217.00","297,255.00",3.16,,
,,2009 - 2010,"97,745.00","278,280.00",2.85,,
,,2010 - 2011,"92,023.00","291,805.00",3.17,,
,,2011 - 2012,"91,042.00","287,966.00",3.16,,
,,2012 - 2013,"90,059.00","289,179.00",3.21,,
,,2013 - 2014,"92,633.00","305,040.00",3.29,,
,,2014 - 2015,"91,563.00","193,106.00",2.11,,
,,2015 - 2016,"92,461.00","273,869.00",2.96,,
,,2016 - 2017,"92,704.00","325,484.00",3.51,,
,,2017 - 2018,"90,058.00","333,755.00",3.71,,
,,2018 - 2019,"88,417.00","336,604.00",3.81,,
,,2019 - 2020,"89,939.00","348,334.00",3.87,,
,,2020 - 2021,"92,094.00","370,218.00",4.02,,
,,2021 - 2022,"96,101.00","379,407.00",3.95,,
,,2022 - 2023,"92,734.00","381,508.00",4.11,,
,7. Auraiya,1997 - 1998,"80,275.00","210,195.00",2.62,,
,,1998 - 1999,"86,080.00","292,191.00",3.39,,
,,1999 - 2000,"86,927.00","282,638.00",3.25,,
,,2000 - 2001,"88,940.00","298,990.00",3.36,,
,,2001 - 2002,"88,476.00","289,048.00",3.27,,
,,2002 - 2003,"87,132.00","246,720.00",2.83,,
,,2003 - 2004,"91,012.00","284,408.00",3.12,,
,,2004 - 2005,"93,788.00","235,712.00",2.51,,
,,2005 - 2006,"91,594.00","267,912.00",2.92,,
,,2006 - 2007,"94,498.00","296,535.00",3.14,,
,,2007 - 2008,"94,475.00","288,716.00",3.06,,
,,2008 - 2009,"98,367.00","348,022.00",3.54,,
,,2009 - 2010,"99,599.00","286,148.00",2.87,,
,,2010 - 2011,"100,626.00","377,448.00",3.75,,
,,2011 - 2012,"101,534.00","390,703.00",3.85,,
,,2012 - 2013,"103,644.00","376,020.00",3.63,,
,,2013 - 2014,"104,354.00","398,006.00",3.81,,
,,2014 - 2015,"104,341.00","236,332.00",2.26,,
,,2015 - 2016,"108,461.00","334,602.00",3.08,,
,,2016 - 2017,"99,678.00","400,407.00",4.02,,
,,2017 - 2018,"102,134.00","396,076.00",3.88,,
,,2018 - 2019,"101,049.00","417,939.00",4.14,,
,,2019 - 2020,"102,910.00","399,702.00",3.88,,
,,2020 - 2021,"102,110.00","423,757.00",4.15,,
,,2021 - 2022,"105,757.00","419,644.00",3.97,,
,,2022 - 2023,"103,008.00","429,543.00",4.17,,
,8. Azamgarh,1997 - 1998,"208,030.00","486,525.00",2.34,,
,,1998 - 1999,"212,687.00","521,201.00",2.45,,
,,1999 - 2000,"216,884.00","535,740.00",2.47,,
,,2000 - 2001,"215,453.00","481,708.00",2.24,,
,,2001 - 2002,"217,147.00","518,173.00",2.39,,
,,2002 - 2003,"216,928.00","434,435.00",2,,
,,2003 - 2004,"222,018.00","552,640.00",2.49,,
,,2004 - 2005,"223,364.00","472,982.00",2.12,,
,,2005 - 2006,"222,018.00","532,399.00",2.4,,
,,2006 - 2007,"221,335.00","542,049.00",2.45,,
,,2007 - 2008,"229,059.00","594,179.00",2.59,,
,,2008 - 2009,"231,715.00","632,582.00",2.73,,
,,2009 - 2010,"234,688.00","607,136.00",2.59,,
,,2010 - 2011,"232,647.00","650,714.00",2.8,,
,,2011 - 2012,"230,874.00","667,688.00",2.89,,
,,2012 - 2013,"235,690.00","693,636.00",2.94,,
,,2013 - 2014,"232,130.00","718,442.00",3.09,,
,,2014 - 2015,"243,897.00","516,574.00",2.12,,
,,2015 - 2016,"231,153.00","630,354.00",2.73,,
,,2016 - 2017,"231,994.00","778,114.00",3.35,,
,,2017 - 2018,"235,094.00","808,724.00",3.44,,
,,2018 - 2019,"230,824.00","852,201.00",3.69,,
,,2019 - 2020,"232,369.00","802,368.00",3.45,,
,,2020 - 2021,"240,293.00","849,680.00",3.54,,
,,2021 - 2022,"244,953.00","850,967.00",3.47,,
,,2022 - 2023,"234,260.00","840,759.00",3.59,,
,9. Baghpat,1997 - 1998,"55,006.00","189,669.00",3.45,,
,,1998 - 1999,"51,002.00","169,326.00",3.32,,
,,1999 - 2000,"56,320.00","208,610.00",3.7,,
,,2000 - 2001,"57,307.00","194,757.00",3.4,,
,,2001 - 2002,"57,709.00","203,180.00",3.52,,
,,2002 - 2003,"56,166.00","206,061.00",3.67,,
,,2003 - 2004,"57,683.00","208,723.00",3.62,,
,,2004 - 2005,"57,480.00","204,817.00",3.56,,
,,2005 - 2006,"57,683.00","188,623.00",3.27,,
,,2006 - 2007,"56,458.00","227,356.00",4.03,,
,,2007 - 2008,"56,669.00","190,691.00",3.36,,
,,2008 - 2009,"56,176.00","213,244.00",3.8,,
,,2009 - 2010,"56,057.00","203,543.00",3.63,,
,,2010 - 2011,"55,863.00","230,100.00",4.12,,
,,2011 - 2012,"54,923.00","232,874.00",4.24,,
,,2012 - 2013,"53,718.00","238,830.00",4.45,,
,,2013 - 2014,"55,347.00","249,172.00",4.5,,
,,2014 - 2015,"51,752.00","175,439.00",3.39,,
,,2015 - 2016,"52,596.00","217,747.00",4.14,,
,,2016 - 2017,"53,849.00","255,083.00",4.74,,
,,2017 - 2018,"56,716.00","251,309.00",4.43,,
,,2018 - 2019,"54,904.00","250,307.00",4.56,,
,,2019 - 2020,"55,446.00","250,782.00",4.52,,
,,2020 - 2021,"55,427.00","253,468.00",4.57,,
,,2021 - 2022,"57,237.00","260,486.00",4.55,,
,,2022 - 2023,"54,815.00","248,696.00",4.54,,
,10. Bahraich,1997 - 1998,"121,154.00","262,266.00",2.16,,
,,1998 - 1999,"119,901.00","256,136.00",2.14,,
,,2000 - 2001,"119,984.00","274,387.00",2.29,,
,,2001 - 2002,"156,030.00","387,202.00",2.48,,
,,2002 - 2003,"158,907.00","391,976.00",2.47,,
,,2003 - 2004,"153,281.00","417,767.00",2.73,,
,,2004 - 2005,"154,736.00","380,127.00",2.46,,
,,2005 - 2006,"154,225.00","370,793.00",2.4,,
,,2006 - 2007,"153,196.00","405,193.00",2.64,,
,,2007 - 2008,"151,961.00","417,589.00",2.75,,
,,2008 - 2009,"155,561.00","440,377.00",2.83,,
,,2009 - 2010,"157,487.00","409,455.00",2.6,,
,,2010 - 2011,"159,722.00","463,983.00",2.9,,
,,2011 - 2012,"152,855.00","468,782.00",3.07,,
,,2012 - 2013,"160,153.00","455,635.00",2.84,,
,,2013 - 2014,"167,831.00","542,765.00",3.23,,
,,2014 - 2015,"165,865.00","394,095.00",2.38,,
,,2015 - 2016,"183,146.00","487,352.00",2.66,,
,,2016 - 2017,"159,626.00","504,737.00",3.16,,
,,2017 - 2018,"167,795.00","629,399.00",3.75,,
,,2018 - 2019,"160,300.00","608,016.00",3.79,,
,,2019 - 2020,"157,415.00","482,160.00",3.06,,
,,2020 - 2021,"161,971.00","565,765.00",3.49,,
,,2021 - 2022,"165,334.00","581,645.00",3.52,,
,,2022 - 2023,"187,662.00","608,400.00",3.24,,
